date,dstip,srcport,dstport,srcip,td,pkt,byt
2016-04-06 17:16:27,719034713,5938,62111,710619707,312.972,4689,917083
2016-04-06 17:16:27,3543491421,21,35123,719036242,310.584,64,5218
2016-04-06 17:16:29,719036342,0,0,707248946,308.108,1729,290596
2016-04-06 17:16:29,707248946,0,0,719036342,308.004,1933,1335085
2016-04-06 17:16:30,719035635,58679,40004,3642343491,304.74,33,1856
2016-04-06 17:16:30,604304074,1818,443,719036116,300.384,72,15480
2016-04-06 17:16:30,3104091342,59860,443,719034713,300.288,42,20286
2016-04-06 17:16:30,719035635,51787,40003,3627788584,301.28,32,1792
2016-04-06 17:16:30,719035635,39528,22001,3747623400,301.236,32,1792
2016-04-06 17:16:30,3234563910,64105,17771,719036116,300.2,42,4620
2016-04-06 17:16:30,719036245,443,59366,3143816721,278.128,13,823
2016-04-06 17:16:30,719035635,52450,22001,1159346482,301.092,32,1792
2016-04-06 17:16:30,719036221,443,42772,732180918,304.008,33,14326
2016-04-06 17:16:30,1062176101,55888,5060,719034773,300.004,11,352
2016-04-06 17:16:31,847553395,3389,52739,719034860,300.0,75,9077
2016-04-06 17:16:31,3755759413,14361,80,719034713,300.0,41,4368
2016-04-06 17:16:31,719036245,443,26836,962077861,291.8640000000001,134,20562
2016-04-06 17:16:31,719036357,0,0,3626732371,299.8520000000001,31,992
2016-04-06 17:16:31,1129117435,43617,80,719034713,302.84,43,6446
2016-04-06 17:16:31,719035635,36502,22001,3383361396,301.78,32,1792
2016-04-06 17:16:31,719034713,80,43617,1129117435,302.656,43,4437
2016-04-06 17:16:31,719036246,5222,36792,1386682846,298.628,145,13150
2016-04-06 17:16:31,719034713,80,43621,1129117435,302.468,21,2400
2016-04-06 17:16:31,1129117435,43621,80,719034713,302.464,21,2820
2016-04-06 17:16:31,719035635,38180,22001,3564129267,301.332,32,1792
2016-04-06 17:16:31,719032690,16136,80,3543454295,300.296,17,3883
2016-04-06 17:16:31,719035635,39958,22001,3496697850,306.264,32,1792
2016-04-06 17:16:31,719035635,37450,22001,1137623326,302.028,32,1792
2016-04-06 17:16:31,3499070563,64105,65376,719036116,300.028,139,19638
2016-04-06 17:16:32,719036357,0,0,3494300995,298.992,32,1024
2016-04-06 17:16:32,719035635,33206,22001,3382866443,301.98,32,1792
2016-04-06 17:16:32,719036242,57975,8000,2968793991,299.952,6,504
2016-04-06 17:16:32,719036242,57971,8000,2968793991,299.944,6,504
